etf,start_week,last_seen_week,end_week,duration_weeks,status,resolution_type
XLB,2026_W07,2026_W08,,2,ongoing,
XLK,2026_W07,2026_W08,2026_W08,1,resolved,HH/HL
XLI,2026_W07,2026_W08,,2,ongoing,
XLF,2026_W07,2026_W08,2026_W08,1,resolved,LH/LL
XLRE,2026_W07,2026_W08,,2,ongoing,
XLU,2026_W07,2026_W08,2026_W08,1,resolved,LH/LL
XLE,2026_W07,2026_W08,2026_W08,1,resolved,LH/LL
XLV,2026_W07,2026_W08,2026_W08,1,resolved,LH/LL
XLP,2026_W07,2026_W08,2026_W08,1,resolved,LH/LL
XLY,2026_W08,2026_W08,,1,ongoing,
